Okay	Pred	True	LogProbSpam	LogProbHam	DocName
False	spam	ham	-802.174360381	-891.929497099	../dat/enron/enron6/ham/2768.2001-01-26.lokay.ham.txt
True	ham	ham	-1259.07597933	-1096.81781516	../dat/enron/enron6/ham/3566.2001-05-08.lokay.ham.txt
True	ham	ham	-231.03076305	-167.106957454	../dat/enron/enron6/ham/0275.2000-07-07.lokay.ham.txt
True	ham	ham	-3834.86627774	-3182.03050905	../dat/enron/enron6/ham/1079.2000-09-15.lokay.ham.txt
True	ham	ham	-2000.55749698	-1292.02906441	../dat/enron/enron6/ham/4226.2001-08-14.lokay.ham.txt
True	ham	ham	-481.134253075	-424.173114565	../dat/enron/enron6/ham/5015.2001-11-19.lokay.ham.txt
True	ham	ham	-3947.00807817	-3093.77913787	../dat/enron/enron6/ham/2171.2000-12-05.lokay.ham.txt
True	ham	ham	-711.253474331	-468.506040794	../dat/enron/enron6/ham/1056.2000-09-15.lokay.ham.txt
True	ham	ham	-8842.84953823	-5521.99434767	../dat/enron/enron6/ham/4984.2001-11-14.lokay.ham.txt
True	ham	ham	-567.716577423	-446.29339264	../dat/enron/enron6/ham/1098.2000-09-18.lokay.ham.txt
True	ham	ham	-257.043303745	-192.149590417	../dat/enron/enron6/ham/3612.2001-05-25.lokay.ham.txt
True	ham	ham	-1381.92058621	-484.758302442	../dat/enron/enron6/ham/2143.2000-12-04.lokay.ham.txt
True	ham	ham	-1837.37302719	-1136.29408654	../dat/enron/enron6/ham/5088.2001-12-07.lokay.ham.txt
False	spam	ham	-4257.1169431	-4434.31711274	../dat/enron/enron6/ham/4382.2001-08-28.lokay.ham.txt
True	ham	ham	-64.7099976621	-58.030553592	../dat/enron/enron6/ham/3251.2001-03-15.lokay.ham.txt
True	ham	ham	-2788.89606275	-2190.59751834	../dat/enron/enron6/ham/3649.2001-05-31.lokay.ham.txt
True	ham	ham	-1198.15728593	-958.099049334	../dat/enron/enron6/ham/2071.2000-11-29.lokay.ham.txt
True	ham	ham	-1462.22513834	-734.68772562	../dat/enron/enron6/ham/5354.2002-01-18.lokay.ham.txt
True	ham	ham	-986.777873683	-677.025691668	../dat/enron/enron6/ham/1095.2000-09-17.lokay.ham.txt
True	ham	ham	-619.939063552	-398.453884127	../dat/enron/enron6/ham/5485.2002-02-01.lokay.ham.txt
True	ham	ham	-4358.55225695	-1506.10357819	../dat/enron/enron6/ham/2096.2000-12-01.lokay.ham.txt
True	ham	ham	-3547.11216995	-1755.92819823	../dat/enron/enron6/ham/2797.2001-01-29.lokay.ham.txt
True	ham	ham	-939.168509576	-823.256561077	../dat/enron/enron6/ham/1538.2000-10-25.lokay.ham.txt
True	ham	ham	-1121.3366145	-954.113579912	../dat/enron/enron6/ham/1529.2000-10-25.lokay.ham.txt
True	ham	ham	-799.984215373	-581.749069206	../dat/enron/enron6/ham/3254.2001-03-16.lokay.ham.txt
True	ham	ham	-1787.74972954	-1440.25037647	../dat/enron/enron6/ham/5701.2002-02-22.lokay.ham.txt
True	ham	ham	-3277.66712198	-2503.73316428	../dat/enron/enron6/ham/0491.2000-07-21.lokay.ham.txt
True	ham	ham	-1832.1166224	-1040.6440678	../dat/enron/enron6/ham/0271.2000-07-06.lokay.ham.txt
False	spam	ham	-1284.70271894	-1360.23233934	../dat/enron/enron6/ham/2737.2001-01-26.lokay.ham.txt
True	ham	ham	-139.993466167	-133.845123281	../dat/enron/enron6/ham/1731.2000-11-07.lokay.ham.txt
